"Table S3:Summary statistics for the analysis of trait divergence and nodal trait values (± SD) for each node of the Glomeromycota phylogeny. Each row represents either the average across host species or each individual host. The top row indicates AM fungal genera and species affiliations and the corresponding abbreviated genus and species affiliations of isolates (See Fig. 1 and Table S1). The second row lists the node numbers from the phylogeny in Fig. 1, and are associated with the contribution index (CI) for each node. The CI values are shown as percentages, so that the sum of all CI values of all nodes always add to 100%. Note that the second last column represents the root node of the Glomeromycota (node 31). Trait values for the species nodes of the phylogeny (“extant AM fungi”) are highlighted in grey and nodes above the AM fungal species level are not highlighted. The CI for each trait and node is shown in the first line in each row. Nodes that contributed greater than expected variability (a high CI) are indicated by the letter D (“Divergence”), followed by the level of significance. Nodes that contributed less than expected variability (a low CI) are marked by the letter s (“stasis”), followed by the level of significance. The last column shows the summed percent contribution index (sum.CIr) of all species level nodes (those highlighted in grey) for each trait to investigate how much of trait variability was explained at the species level (i.e., among isolates within species). Summed CI values >50% indicate that a majority of variation is accounted for by divergences within species, whereas summed CI values <50% indicate that a majority of variation is accounted for by divergences above the species level (i.e., at the family and sub-family levels). The second line on each row is the mean trait value for a node ± SD, calculated as the average of isolates descended from that node. For each trait and host species, the analyses were based on the overall least-square values of each isolate and plant species (Achillea millefolium, Bromus inermis and Medicago sativa, abbreviated as A. mill, B. iner and M. sati, respectively). The overall effect across host species was assessed by the mean across hosts least-square values for each isolate (“Overall”). Traits analyzed were total plant dry weight (DW), root to shoot ratio (R / S), total arbuscular, vesicular and root hyphal volumes (Arb. V, Ves. V and Root HV, respectively), total extraradical hyphal volume (EHV), number of AM fungal spores per gram dried substrate (Spore #), total AM fungal spore volume (Spore V), root fungal volume (Root FV, i.e., the sum of Arb. V, Ves. V and RH V), total soil fungal volume (Soil FV, i.e., the sum of EHV and Spore V), total fungal volume (FV, i.e., the sum of Root FV and Soil FV), the percentage of Root FV from the FV (% RVF) and the percentage of Spore V from the Soil FV (% SV). For consistency with Fig. 1 all plant DW values are given in grams, R / S ratios are dimensionless (i.e., total root dry weight [g] / total shoot dry weight [g]) and all fungal volume traits are given in cubic millimeters per container.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Genus,Ac.,,,Ent.,,,,Gi.,,,Sc.,,Sc.,,,Gl. Aa,,,Gl. Ab,,Gl. B,,,,,Pa.,,Am.,Ar.,,,,
,,Species,mor,scr,,col,con,,,mar,ros,,het,,dip,,,mos,cal,,intra/irreg,,clar,etun,,,,occu,,lept,trap,,,,
Trait,Host,Node ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,sum.CIr,
DW,Overall,%CI,5.41,5.02,0.03,11.25,4.08,1.44,0.03,1.52,0.04,1.93,0.01,0.37,0,0.09,5.48,6.89,1.7,1.72,10.57,13.35,0.56,14.6,0.01 s+,1.8,0.77,4.31,0.66,4.91,0.07,1.36,0.01 s*,70.94,
,,mean ± SD,0.936 ± 0.07,0.943 ± 0.095,0.939 ± 0.005,0.915 ± 0.142,0.98 ± 0.121,0.945 ± 0.046,0.942 ± 0.004,0.936 ± 0.052,0.86 ± 0.012,0.9 ± 0.053,0.874 ± 0.006,0.886 ± 0.019,0.875 ± 0.004,0.88 ± 0.008,0.911 ± 0.044,0.983 ± 0.111,0.912 ± 0.078,0.949 ± 0.05,0.834 ± 0.062,0.879 ± 0.083,0.909 ± 0.032,0.914 ± 0.115,0.912 ± 0.003,0.896 ± 0.023,0.903 ± 0.011,0.892 ± 0.072,0.896 ± 0.008,0.921 ± 0.077,0.862 ± 0.016,0.894 ± 0.042,0.895 ± 0.001,,
,A. mill,%CI,2.02,0.67,0.18,0.06 s*,0.24,0.62,0.00 s*,1.46,2.61,5.2,0.31,0.28,0.00 s*,0.87,0.34,11.26,0.69,1.78,35.24,12.61,1.66,3.37,7.05,4.94,0.00 s*,0.48,0.29,5.66,0.06,0.00 s*,0.01 s+,65.79,
,,mean ± SD,1.062 ± 0.041,1.08 ± 0.034,1.071 ± 0.013,1.05 ± 0.01,1.091 ± 0.029,1.069 ± 0.029,1.07 ± 0.001,1.133 ± 0.05,1.013 ± 0.094,1.077 ± 0.085,1.054 ± 0.032,1.065 ± 0.016,1.101 ± 0.001,1.085 ± 0.026,1.077 ± 0.01,1.15 ± 0.138,1.079 ± 0.049,1.117 ± 0.05,1.007 ± 0.11,1.05 ± 0.079,1.161 ± 0.053,1.05 ± 0.054,1.103 ± 0.078,1.077 ± 0.037,1.077 ± 0.001,1.084 ± 0.023,1.081 ± 0.005,1.083 ± 0.08,1.084 ± 0.014,1.083 ± 0.001,1.082 ± 0.002,,
,B. iner,%CI,2.78,0.81,0.03,12.54,0.52,0.18,4.79,2.27,1.72,0.19,0.55,0.00 s***,0.07,1.6,3.66,0.44,0.02,2.19,17.99,2.01,1.01,6.41,1.1,0.00 s*,0.26,0.97,19.17,9.14,0.00 s*,2.53,5.05,57.24,
,,mean ± SD,0.994 ± 0.04,1 ± 0.031,0.997 ± 0.004,0.946 ± 0.121,0.928 ± 0.035,0.937 ± 0.013,0.968 ± 0.042,0.98 ± 0.051,0.999 ± 0.063,0.989 ± 0.013,0.989 ± 0.036,0.989 ± 0,1.027 ± 0.012,1.009 ± 0.027,0.989 ± 0.03,1.049 ± 0.023,0.984 ± 0.007,1.018 ± 0.046,0.982 ± 0.065,0.996 ± 0.026,1.014 ± 0.034,0.978 ± 0.061,0.995 ± 0.026,0.996 ± 0.001,0.992 ± 0.005,0.941 ± 0.027,0.961 ± 0.037,1.021 ± 0.084,0.957 ± 0.001,0.992 ± 0.046,0.977 ± 0.022,,
,M. sati,%CI,5.12,8.85,0.00 s*,11.83,5.6,1.49,0.8,1.62,0.00 s+,0.78,0.11,0.25,0.02,1.38,11.64,14.58 D+,1.53,0.31,1.89 s*,5.84,0.02 s+,12.19,2.09,0.52,1.35,5.49,0.06,2.97,0.05,0.75,0.88,71.87,
